// Statistic and classification of LTP testcases (on RISC-V musl)
// newly passed testcases should be updated here, not in the rank files.
// Testcases are composed of "units".
// Classification rules:
// 1. all pass:			pass all units
// 2. skip pass:			at least one passed but some units stay not tested due to unimplement feature \
				or output indecates that it passed but not with "TPASS" format
// 3. part fail: 			at least one failed units(sometimes caused by timeout)
// 4. skip:				skip without pass
// 5. skip consuming time:		skip without pass and cost more than 30 seconds
// 4. all fail:			fail all units
// 5. defect panic: 			panicked with wrong implementation
// 6. unimplement panic: 		panic caused by unimplemented syscall(label the syscall number parentheses) or unimplemented function
// 7. timeout with pass: 		timeout but pass at least unit(Timeout means stuck for more than 1 min. When output say "timeout" we call it "skip")
// 8. timeout no pass:			timeout and no pass units
// 9. skip:				some how totally skipped

name			type		pass	fail+broken
execve05			all fail		0	1
execve06			skip		0	0
execve06_child		skip		0	0
execve_child		skip		0	0
execveat01			all fail		0	1
execveat02			all fail		0	1
execveat03			all fail		0	1
execveat_child		skip		0	0
execveat_errno		skip		0	0
execvp01			all fail		0	2
execvp01_child		skip		0	0
exit01			all pass		1	0
exit02			all pass		1	0
exit_group01		all pass		1	0
f00f			skip		0	0
faccessat01			all pass		3	0
faccessat02			all pass		2	0
faccessat201		unimplement panic	0	0
faccessat202		unimplement panic	0	0
fallocate01			all pass		4	0
fallocate02			all fail		0	8
fallocate03			all pass		8	0
fallocate04			part fail		1	1
fallocate05			all fail		0	2
fallocate06			part fail		4	2
fanotify01			all pass		702	0
fanotify02			all pass		8	0
fanotify03			all fail		0	1
fanotify04			all pass		9	0
fanotify05			all fail		0	1
fanotify06			all pass		18	0
fanotify07			unimplement panic	0	0
fanotify08			all pass		2	0
fanotify09			part fail		16	11
fanotify10			all fail		0	1
fanotify11			all fail		0	2
fanotify12			all fail		0	1
fanotify13			unimplement panic	48	1
fanotify14			all pass		513	0
fanotify15			part fail		3	3
fanotify16			part fail		10	72
fanotify17			all fail		0	1
fanotify18			all fail		0	1
fanotify19			part fail		8	8
fanotify20			unimplement panic	0	0
fanotify21			unimplement panic	0	0
fanotify22			skip		0	0
fanotify23			all fail		0	1
fanotify_child		skip		0	0
fanout01			skip		0	0
fchdir01			all pass		1	0
fchdir02			all pass		1	0
fchdir03			all fail		0	1
fchmod01			unimplement panic	0	0
fchmod02			all fail		0	1
fchmod03			all fail		0	1
fchmod04			unimplement panic	0	0		
fchmod05			unimplement panic	0	0
fchmod06			all fail		0	1
