[rank] test_name        pass  total_line
[ 744] setsockopt02         2    11
[ 745] setuid04             2    11
[ 746] setxattr03           2    14
[ 747] shmdt01              2    11
[ 748] shmdt02              2    11
[ 749] shmget05             2    12
[ 750] sigaltstack02        2    11
[ 751] splice09             2    14
[ 752] starvation           2    13
[ 753] stat02               2    11
[ 754] stat02               2    11
[ 755] statx10              2    67
[ 756] statx11              2    12
[ 757] symlink04            2    23
[ 758] test_1_to_1_initmsg_connect     2   718
[ 759] time01               2    16
[ 760] userns02             2    12
[ 761] userns04             2    12
[ 762] ustat02              2    12
[ 763] utsname02            2    11
[ 764] utsname03            2    12
[ 765] utsname04            2    25
[ 766] vmsplice04           2    13
[ 767] waitid04             2    12
[ 768] waitpid03            2    11
[ 769] write02              2    11
[ 770] write06              2    25
[ 771] accept02             1    11
[ 772] add_key03            1     9
[ 773] add_key04            1    11
[ 774] adjtimex03           1    29
[ 775] af_alg03             1     9
[ 776] af_alg05             1     9
[ 777] af_alg06             1    10
[ 778] af_alg07             1    16
[ 779] aslr01               1    18
[ 780] autogroup01          1     9
[ 781] bind02               1    10
[ 782] bpf_prog03           1    12
[ 783] bpf_prog04           1    12
[ 784] can_bcm01            1    25
[ 785] capset03             1    11
[ 786] capset04             1    11
[ 787] cgroup_core01        1     9
[ 788] cgroup_core02        1     9
[ 789] chmod05              1    11
[ 790] chmod07              1     9
[ 791] chown01              1     9
[ 792] chown03              1     9
[ 793] chroot01             1     9
[ 794] chroot04             1     9
[ 795] clock_settime03      1    11
[ 796] clone03              1     9
[ 797] clone04              1    10
[ 798] clone05              1    10
[ 799] clone06              1    10
[ 800] clone07              1     9
[ 801] clone09              1    11
[ 802] clone303             1     9
[ 803] close02              1    10
[ 804] connect02            1    10
[ 805] creat03              1    10
[ 806] creat05              1    12
[ 807] crypto_user01        1     9
[ 808] crypto_user02        1    10
[ 809] cve-2014-0196        1    18
[ 810] cve-2016-10044       1     9
[ 811] cve-2016-7042        1    10
[ 812] cve-2016-7117        1    27
[ 813] cve-2017-16939       1     9
[ 814] cve-2017-17052       1    14
[ 815] cve-2017-17053       1    10
[ 816] cve-2017-2618        1     9
[ 817] cve-2017-2671        1    27
[ 818] dio_append           1    27
[ 819] dio_read             1    20
[ 820] dio_sparse           1    62
[ 821] dio_truncate         1    32
[ 822] dirtypipe            1   117
[ 823] dup205               1     9
[ 824] dup206               1     9
[ 825] epoll_ctl04          1     9
[ 826] epoll_ctl05          1    49
[ 827] epoll_wait04         1     9
[ 828] epoll_wait05         1    13
[ 829] exit02               1     9
[ 830] exit_group01         1    14
[ 831] fchdir01             1     9
[ 832] fchdir02             1     9
[ 833] fchdir03             1     9
[ 834] fchmod02             1     9
[ 835] fchmod03             1     9
[ 836] fchmod04             1     9
[ 837] fchmod05             1    11
[ 838] fchown01             1     9
[ 839] fchown03             1     9
[ 840] fcntl03              1     9
[ 841] fcntl03              1     9
[ 842] fcntl04              1     9
[ 843] fcntl04              1     9
[ 844] fcntl08              1     9
[ 845] fcntl08              1    61
[ 846] fcntl12              1     9
[ 847] fcntl12              1     9
[ 848] fcntl34              1    13
[ 849] fcntl34              1    13
[ 850] fgetxattr03          1    12
[ 851] flistxattr01         1     9
[ 852] fork03               1    10
[ 853] fork07               1     9
[ 854] fork08               1    17
[ 855] fork14               1    10
[ 856] fork_procs           1    10
[ 857] fsx-linux            1    11
[ 858] fsync02              1     9
[ 859] futex_wait02         1    10
[ 860] futex_wait03         1    10
[ 861] futex_wait04         1    10
[ 862] futex_waitv02        1    11
[ 863] futex_waitv03        1    11
[ 864] futex_wake04         1    55
[ 865] getcpu01             1     9
[ 866] getcwd03             1     9
[ 867] getcwd04             1    10
[ 868] getdomainname01      1     9
[ 869] getegid01            1     9
[ 870] getegid01            1     9
[ 871] getegid02            1     9
[ 872] getegid02            1     9
[ 873] geteuid01            1     9
[ 874] getgid01             1     9
[ 875] getgid03             1     9
[ 876] gethostbyname_r01     1     9
[ 877] gethostname01        1     9
[ 878] gethostname02        1    11
[ 879] getpagesize01        1     9
[ 880] getppid01            1     9
[ 881] getppid02            1     9
[ 882] getrandom04          1     9
[ 883] getsid01             1     9
[ 884] getsid02             1     9
[ 885] getsockopt02         1     9
[ 886] gettimeofday02       1    10
[ 887] getuid01             1     9
[ 888] hugefallocate01      1    11
[ 889] hugefallocate02      1    11
[ 890] hugefork02           1    10
[ 891] hugemmap01           1    11
[ 892] hugemmap02           1    11
[ 893] hugemmap04           1    12
[ 894] hugemmap05           1    24
[ 895] hugemmap07           1    13
[ 896] hugemmap09           1    14
[ 897] hugemmap10           1    55
[ 898] hugemmap11           1    11
[ 899] hugemmap12           1    15
[ 900] hugemmap13           1    12
[ 901] hugemmap14           1    14
[ 902] hugemmap15           1    75
[ 903] hugemmap16           1    15
[ 904] hugemmap17           1    12
[ 905] hugemmap18           1    12
[ 906] hugemmap19           1    17
[ 907] hugemmap21           1    21
[ 908] hugemmap24           1    15
[ 909] hugemmap25           1    13
[ 910] hugemmap26           1    12
[ 911] hugemmap27           1    13
[ 912] hugemmap28           1    11
[ 913] hugemmap29           1    11
[ 914] hugemmap30           1    13
[ 915] hugemmap31           1     9
[ 916] hugemmap32           1    10
[ 917] hugeshmat03          1    10
[ 918] hugeshmat05          1    14
[ 919] hugeshmdt01          1    10
[ 920] hugeshmget01         1    10
[ 921] hugeshmget03         1    10
[ 922] hugeshmget05         1    40
[ 923] icmp_rate_limit01     1    11
[ 924] inotify05            1     9
[ 925] inotify06            1    13
[ 926] inotify09            1    25
[ 927] inotify11            1     9
[ 928] UNKNOWN              1    11
[ 929] ioctl07              1    20
[ 930] ioctl_loop03         1    10
[ 931] ioctl_ns02           1     9
[ 932] ioctl_ns03           1     9
